freestyle,50m,Arjona,Dorian,0:25.58,Barbezieux,27/08/2011
freestyle,100m,Duniach,Gabriel,0:57.12,Céret,21/08/2022
freestyle,200m,Duniach,Gabriel,2:10.05,Céret,20/08/2022
freestyle,400m,Berger,Adrien,5:06.41,Charolles,26/08/2017
freestyle,1500m,Berger,Romain,21:32.62,Céret,29/07/2018
backstroke,50m,Duniach,Gabriel,0:30.72,Céret,21/08/2022
backstroke,100m,Blum,Benjamin,1:11.11,Souillac,31/08/2013
backstroke,200m,Blum,Benjamin,2:33.31,Céret,17/08/2013
breaststroke,50m,Faliu,Nino,0:36.41,Ceret,29/07/2018
breaststroke,100m,Sanchez,Victor,1:20.16,Clermont,20/08/2011
breaststroke,200m,Lasseye,Benjamin,3:02.06,Thuir,20/08/2016
butterfly,50m,Duniach,Gabriel,0:28.18,Céret,21/08/2022
butterfly,100m,Duniach,Gabriel,1:04.13,Paulhan,23/07/2017
butterfly,200m,Berger,Romain,3:02.15,Lodève,22/07/2018
medley,100m,Berger,Adrien,1:14.21,StGilles,18/06/2017
medley,200m,Duniach,Gabriel,2:30.67,Céret,20/08/2022
