freestyle,50m,Arjona,Dorian,0:25.58,Barbezieux,27/08/2011
freestyle,100m,Arjona,Dorian,0:58.20,Clermont,07/08/2011
freestyle,200m,Arjona,Dorian,2:11.94,Clermont,21/08/2011
freestyle,400m,Berger,Adrien,5:06.41,Charolles,26/08/2017
freestyle,1500m,Berger,Romain,21:32.62,Ceret,29/07/2018
backstroke,50m,Blum,Benjamin,32:49,Paulhan,22/07/2012
backstroke,100m,Blum,Benjamin,1:11.11,Souillac,31/08/2013
backstroke,200m,Blum,Benjamin,2:33.31,Céret,17/08/2013
breaststroke,50m,Faliu,Nino,0:36.41,Ceret,29/07/2018
breaststroke,100m,Sanchez,Victor,1:20.16,Clermont,20/08/2011
breaststroke,200m,Lasseye,Benjamin,3:02.06,Thuir,20/08/2016
butterfly,50m,Tinson,Toby,0:30.70,Céret,13/08/2017
butterfly,100m,Berger,Adrien,1:12.07,Paulhan,23/07/2017
butterfly,200m,Berger,Romain,3:02.15,Lodève,22/07/2018
medley,100m,Berger,Adrien,1:14.21,StGilles,18/06/2017
medley,200m,Arjona,Dorian,2:37.16,Clermont,20/08/2011
